mood;family;anecdote;is_good;is_bad
heureu.x.se;légumineuses;Les légumineuses sont riches en protéines et en acides aminés, qui aident à maintenir un équilibre hormonal sain.;true;false
heureu.x.se;fruits de mer;Les fruits de mer sont riches en acides gras oméga-3, qui peuvent aider à réguler l'humeur et à réduire les symptômes de dépression.;true;false
heureu.x.se;légumes verts;Les légumes verts sont riches en acide folique et en vitamine C, qui peuvent aider à réduire les niveaux de stress et à améliorer l'humeur.;true;false
heureu.x.se;baies;Les baies sont riches en antioxydants et en vitamine C, qui peuvent aider à réduire l'inflammation et à améliorer l'humeur.;true;false
heureu.x.se;légumes racines;Les légumes racines sont riches en glucides complexes, qui peuvent aider à maintenir des niveaux d'énergie stables et à favoriser une humeur positive.;true;false
fatigué.e;baies;Les baies sont riches en antioxydants et en vitamine C, qui peuvent aider à réduire l'inflammation et à améliorer la fonction immunitaire.;true;false
fatigué.e;champignon;Les champignons sont riches en vitamine D et en antioxydants, qui peuvent aider à renforcer le système immunitaire et à combattre la fatigue.;true;false
triste;fruits rouges;Les fruits rouges sont riches en antioxydants et en vitamine C, qui peuvent aider à réduire l'inflammation et à améliorer l'humeur.;true;false
triste;légumes verts;Les légumes verts sont riches en acide folique et en vitamine C, qui peuvent aider à réguler l'humeur et à réduire les niveaux de stress.;true;false
triste;poissons gras;Les poissons gras sont riches en acides gras oméga-3, qui peuvent aider à réguler l'humeur et à réduire l'inflammation.;true;false
triste;légumineuses;Les légumineuses sont riches en protéines et en acides aminés, qui peuvent aider à maintenir un équilibre hormonal sain et à améliorer l'humeur.;true;false
triste;champignon;Les champignons sont riches en vitamine D et en antioxydants, qui peuvent aider à renforcer le système immunitaire et à stimuler l'humeur.;true;false
énervé.e;fruits rouges;Les fruits rouges sont riches en antioxydants et en vitamine C, qui peuvent aider à réduire l'inflammation et à apaiser les nerfs.;true;false
énervé.e;légumes verts;Les légumes verts sont riches en acide folique et en vitamine C, qui peuvent aider à réguler les émotions et à réduire les niveaux de stress.;true;false
énervé.e;légumineuses;Les légumineuses sont riches en protéines et en acides aminés, qui peuvent aider à maintenir un équilibre hormonal sain et à réduire le stress.;true;false
stressé.e;fruits rouges;Les fruits rouges sont riches en antioxydants et en vitamine C, qui peuvent aider à réduire l'inflammation et à apaiser les nerfs.;true;false
stressé.e;légumes verts;Les légumes verts sont riches en acide folique et en vitamine C, qui peuvent aider à réguler les émotions et à réduire les niveaux de stress.;true;false
stressé.e;légumineuses;Les légumineuses sont riches en protéines et en acides aminés, qui peuvent aider à maintenir un équilibre hormonal sain et à réduire le stress.;true;false
