mood;ingredient;anecdote;is_good;is_bad
énervé.e;miel;"Le miel est un aliment apaisant et réconfortant qui peut aider à réduire le stress et favoriser la relaxation grâce à ses propriétés antioxydantes et anti-inflammatoires naturelles.";true;false
énervé.e;pain complet;"Le pain complet est une source de glucides complexes qui peut aider à réguler le taux de sucre dans le sang, réduire le stress et favoriser la relaxation.";true;false
énervé.e;pâte au blé complet;"Les pâtes au blé complet sont riches en glucides complexes et en fibres alimentaires, ce qui peut aider à maintenir l'équilibre émotionnel et favoriser la détente.";true;false
énervé.e;pomme de terre;"Les pommes de terre sont riches en glucides et en potassium, ce qui peut aider à réguler le système nerveux et à apaiser les nerfs lorsqu'on est énervé.";true;false
énervé.e;amande;"Les amandes sont riches en magnésium et en vitamine E, ce qui peut aider à réduire les symptômes du stress et à favoriser la relaxation.";true;false
énervé.e;noix de cajou nature non salée;"Les noix de cajou sont riches en magnésium et en tryptophane, ce qui peut aider à réguler l'humeur et à réduire les symptômes du stress et de l'anxiété.";true;false
heureu.x.se;banane;Les bananes sont riches en tryptophane, qui aide à la production de sérotonine, l'hormone du bonheur.;true;false
heureu.x.se;avocat;Les avocats sont riches en acide folique, en vitamine B6 et en tryptophane, qui aident tous à la production de sérotonine.;true;false
heureu.x.se;noix de cajou;Les noix de cajou sont riches en magnésium, qui peut aider à soulager le stress et à améliorer l'humeur.;true;false
heureu.x.se;chocolat noir;Le chocolat est noir riche en antioxydants et en flavonoïdes, qui peuvent stimuler la production de dopamine et de sérotonine.;true;false
heureu.x.se;graine de lin;Les graines de lin sont riches en acides gras oméga-3, qui peuvent aider à réguler l'humeur et à réduire l'anxiété.;true;false
fatigué.e;noix;Les noix sont riches en magnésium, en fer et en vitamine E, qui peuvent aider à combattre la fatigue et à stimuler l'énergie.;true;false
fatigué.e;épinards;Les épinards sont riches en fer et en acide folique, qui peuvent aider à augmenter les niveaux d'énergie et à prévenir l'anémie.;true;false
fatigué.e;lentilles;Les lentilles sont riches en fer, en protéines et en fibres, qui peuvent aider à augmenter les niveaux d'énergie et à maintenir une glycémie stable.;true;false
fatigué.e;avocat;Les avocats sont riches en graisses saines, en potassium et en vitamines B, qui peuvent aider à augmenter les niveaux d'énergie et à améliorer la concentration mentale.;true;false
fatigué.e;oeuf;Les oeufs sont riches en protéines et en vitamine B12, qui peuvent aider à stimuler l'énergie et à améliorer la fonction cognitive.;true;false
fatigué.e;graines de chia;Les graines de chia sont riches en fibres, en protéines et en acides gras oméga-3, qui peuvent aider à réguler la glycémie et à maintenir des niveaux d'énergie stables.;true;false
fatigué.e;patate douce;Les patates douces sont riches en glucides complexes, en potassium et en vitamine A, qui peuvent aider à fournir une énergie durable et à réguler la glycémie.;true;false
fatigué.e;thé vert;Le thé vert est riche en antioxydants et en caféine, qui peut aider à stimuler l'énergie et à améliorer la concentration mentale.;true;false
triste;noix;Les noix sont riches en magnésium, en acides gras oméga-3 et en vitamine E, qui peuvent aider à réduire le stress et à stimuler l'humeur.;true;false
triste;avocat;Les avocats sont riches en acide folique, en vitamine B6 et en graisses saines, qui peuvent aider à réguler les hormones du stress et à stimuler l'humeur.;true;false
triste;oeuf;Les oeufs sont riches en protéines et en acides gras oméga-3, qui peuvent aider à réguler l'humeur et à améliorer la fonction cognitive.;true;false
triste;graines de tournesol;Les graines de tournesol sont riches en magnésium, en vitamine E et en tryptophane, qui peuvent aider à réduire le stress et à améliorer l'humeur.;true;false
triste;chocolat noir;Le chocolat noir est riche en antioxydants et en flavonoïdes, qui peuvent stimuler la production de dopamine et de sérotonine, les hormones du bonheur.;true;false
énervé.e;noix;Les noix sont riches en magnésium et en acides gras oméga-3, qui peuvent aider à réduire le stress et à calmer les nerfs.;true;false
énervé.e;avocat;Les avocats sont riches en acide folique, en vitamine B6 et en graisses saines, qui peuvent aider à réguler les hormones du stress et à apaiser les nerfs.;true;false
énervé.e;saumon;Le saumon est riche en acides gras oméga-3, qui peuvent aider à réduire l'inflammation et à calmer les nerfs.;true;false
énervé.e;oeuf;Les oeufs sont riches en protéines et en acides gras oméga-3, qui peuvent aider à réguler les émotions et à améliorer la fonction cognitive.;true;false
énervé.e;banane;Les bananes sont riches en potassium et en vitamine B6, qui peuvent aider à réguler les hormones du stress et à calmer les nerfs.;true;false
énervé.e;thé vert;Le thé vert est riche en antioxydants et en L-théanine, qui peuvent aider à réduire le stress et à apaiser les nerfs.;true;false
énervé.e;graines de lin;Les graines de lin sont riches en acides gras oméga-3 et en lignanes, qui peuvent aider à réduire l'inflammation et à calmer les nerfs.;true;false
énervé.e;graines de chia;Les graines de chia sont riches en acides gras oméga-3, en fibres et en protéines, qui peuvent aider à réguler les niveaux de sucre dans le sang et à réduire le stress.;true;false
énervé.e;curcuma;Le curcuma est riche en curcumine, un composé anti-inflammatoire qui peut aider à réduire le stress et à calmer les nerfs.;true;false
énervé.e;épinard;Les épinards sont riches en magnésium et en acide folique, qui peuvent aider à réduire les niveaux de stress et à améliorer l'humeur.;true;false
énervé.e;patate douce;Les patates douces sont riches en bêta-carotène et en vitamine C, qui peuvent aider à réduire l'inflammation et à calmer les nerfs.;true;false
énervé.e;baie de goji;Les baies de goji sont riches en antioxydants et en vitamine C, qui peuvent aider à réduire le stress et à renforcer le système immunitaire.;true;false
énervé.e;champignon shiitake;Les champignons shiitake sont riches en vitamine D et en polysaccharides, qui peuvent aider à renforcer le système immunitaire et à réduire l'inflammation.;true;false
énervé.e;grenade;Les grenades sont riches en antioxydants, en acide ellagique et en vitamine C, qui peuvent aider à réduire l'inflammation et à renforcer le système immunitaire.;true;false
énervé.e;lait d'amande;Le lait d'amande est riche en magnésium et en acides gras oméga-3, qui peuvent aider à réguler les hormones du stress;true;false
