id;recipe_id;ingredient_id;quantity;unit
1;1;2;112.5;g
2;1;3;62.5;g
3;1;4;0.75;g
4;1;5;32.5;ml
5;1;6;22.5;ml
6;1;7;15.0;g
7;1;8;12.5;
8;1;9;0.0;
9;1;10;0.0;
10;1;11;0.0;
11;2;12;0.25;L
12;2;13;137.5;g
13;2;14;87.5;g
14;2;15;67.5;g
15;2;16;25.0;g
16;2;17;2.5;g
17;2;18;1.25;gousse
18;2;19;0.25;
19;2;20;0.0;
20;2;21;0.0;
21;2;22;0.0;
22;2;23;0.0;
23;2;24;0.0;
24;2;25;0.0;
25;2;26;0.0;
26;2;27;0.0;
27;3;27;0.34;L
28;3;28;50.0;g
29;3;29;10.0;g
30;3;30;0.67;cube
31;3;31;0.0;
32;3;32;0.0;
33;3;33;0.0;
34;4;33;0.25;g
35;4;34;200.0;g
36;4;35;25.0;c. à soupe
37;4;36;2.5;
38;4;37;0.25;
39;5;37;250.0;ml
40;5;38;176.0;g
41;5;39;150.0;g
42;5;40;0.0;
43;6;41;0.5;ml
44;6;42;45.0;g
45;6;43;0.0;
46;6;44;0.0;
47;7;44;1.0;g
48;7;45;95.0;g
49;7;46;90.0;g
50;8;47;47.0;g
51;8;48;8.0;ml
52;8;49;6.5;
53;8;50;0.0;
54;8;51;0.0;
55;9;52;0.34;g
56;9;53;0.17;g
57;9;54;0.0;
58;9;55;0.0;
59;10;55;166.67;g
60;10;56;20.0;g
61;10;57;0.0;
62;11;57;83.34;g
63;11;58;66.67;g
64;11;59;40.0;g
65;11;60;33.34;g
66;12;61;41.67;g
67;12;62;38.34;g
68;12;63;16.67;g
69;12;64;38.34;g
70;13;65;200.0;g
71;13;66;3.34;g
72;13;67;0.0;
73;14;68;95.0;g
74;14;69;100.0;ml
75;14;70;42.5;g
76;15;70;75.0;ml
77;16;70;125.0;g
78;16;71;100.0;g
79;17;71;150.0;g
80;17;72;15.0;g
81;17;73;0.5;boule
82;17;74;0.0;
83;18;74;62.5;g
